fandom,fic,year,month,category
"My Little Pony",0.36363636363636365," 2001"," 01"," cartoon"
"My Little Pony",0.36363636363636365," 2001"," 02"," cartoon"
"My Little Pony",0.36363636363636365," 2001"," 03"," cartoon"
"My Little Pony",0.36363636363636365," 2001"," 04"," cartoon"
"My Little Pony",0.36363636363636365," 2001"," 05"," cartoon"
"My Little Pony",0.36363636363636365," 2001"," 06"," cartoon"
"My Little Pony",0.36363636363636365," 2001"," 07"," cartoon"
"My Little Pony",0.36363636363636365," 2001"," 08"," cartoon"
"My Little Pony",0.36363636363636365," 2001"," 09"," cartoon"
"My Little Pony",0.36363636363636365," 2001"," 10"," cartoon"
"My Little Pony",0.36363636363636365," 2001"," 11"," cartoon"
"My Little Pony",2.0," 2001"," 12"," cartoon"
"My Little Pony",2.0," 2002"," 01"," cartoon"
"My Little Pony",2.0," 2002"," 02"," cartoon"
"My Little Pony",2.0," 2002"," 03"," cartoon"
"My Little Pony",2.0," 2002"," 04"," cartoon"
"My Little Pony",2.5," 2002"," 05"," cartoon"
"My Little Pony",2.5," 2002"," 06"," cartoon"
"My Little Pony",7.5," 2002"," 07"," cartoon"
"My Little Pony",7.5," 2002"," 08"," cartoon"
"My Little Pony",1.5," 2002"," 09"," cartoon"
"My Little Pony",1.5," 2002"," 10"," cartoon"
"My Little Pony",3.5," 2002"," 11"," cartoon"
"My Little Pony",3.5," 2002"," 12"," cartoon"
"My Little Pony",3.25," 2003"," 01"," cartoon"
"My Little Pony",3.25," 2003"," 02"," cartoon"
"My Little Pony",3.25," 2003"," 03"," cartoon"
"My Little Pony",3.25," 2003"," 04"," cartoon"
"My Little Pony",8.625," 2003"," 05"," cartoon"
"My Little Pony",8.625," 2003"," 06"," cartoon"
"My Little Pony",8.625," 2003"," 07"," cartoon"
"My Little Pony",8.625," 2003"," 08"," cartoon"
"My Little Pony",8.625," 2003"," 09"," cartoon"
"My Little Pony",8.625," 2003"," 10"," cartoon"
"My Little Pony",8.625," 2003"," 11"," cartoon"
"My Little Pony",8.625," 2003"," 12"," cartoon"
"My Little Pony",0.8," 2004"," 01"," cartoon"
"My Little Pony",0.8," 2004"," 02"," cartoon"
"My Little Pony",0.8," 2004"," 03"," cartoon"
"My Little Pony",0.8," 2004"," 04"," cartoon"
"My Little Pony",0.8," 2004"," 05"," cartoon"
"My Little Pony",0.8," 2004"," 06"," cartoon"
"My Little Pony",0.8," 2004"," 07"," cartoon"
"My Little Pony",0.8," 2004"," 08"," cartoon"
"My Little Pony",0.8," 2004"," 09"," cartoon"
"My Little Pony",0.8," 2004"," 10"," cartoon"
"My Little Pony",6.0," 2004"," 11"," cartoon"
"My Little Pony",23.0," 2004"," 12"," cartoon"
"My Little Pony",4.0," 2005"," 01"," cartoon"
"My Little Pony",8.0," 2005"," 02"," cartoon"
"My Little Pony",4.0," 2005"," 03"," cartoon"
"My Little Pony",1.0," 2005"," 04"," cartoon"
"My Little Pony",-0.3," 2005"," 05"," cartoon"
"My Little Pony",-0.3," 2005"," 06"," cartoon"
"My Little Pony",-0.3," 2005"," 07"," cartoon"
"My Little Pony",-0.3," 2005"," 08"," cartoon"
"My Little Pony",-0.3," 2005"," 09"," cartoon"
"My Little Pony",-0.3," 2005"," 10"," cartoon"
"My Little Pony",-0.3," 2005"," 11"," cartoon"
"My Little Pony",-0.3," 2005"," 12"," cartoon"
"My Little Pony",-0.3," 2006"," 01"," cartoon"
"My Little Pony",-0.3," 2006"," 02"," cartoon"
"My Little Pony",-1.0," 2006"," 03"," cartoon"
"My Little Pony",-1.0," 2006"," 04"," cartoon"
"My Little Pony",-1.0," 2006"," 05"," cartoon"
"My Little Pony",-1.0," 2006"," 06"," cartoon"
"My Little Pony",-1.0," 2006"," 07"," cartoon"
"My Little Pony",-1.0," 2006"," 08"," cartoon"
"My Little Pony",-1.0," 2006"," 09"," cartoon"
"My Little Pony",-1.0," 2006"," 10"," cartoon"
"My Little Pony",-1.0," 2006"," 11"," cartoon"
"My Little Pony",-1.0," 2006"," 12"," cartoon"
"My Little Pony",0.375," 2007"," 01"," cartoon"
"My Little Pony",0.375," 2007"," 02"," cartoon"
"My Little Pony",0.375," 2007"," 03"," cartoon"
"My Little Pony",0.375," 2007"," 04"," cartoon"
"My Little Pony",0.375," 2007"," 05"," cartoon"
"My Little Pony",0.375," 2007"," 06"," cartoon"
"My Little Pony",0.375," 2007"," 07"," cartoon"
"My Little Pony",0.375," 2007"," 08"," cartoon"
"My Little Pony",1.75," 2007"," 09"," cartoon"
"My Little Pony",1.75," 2007"," 10"," cartoon"
"My Little Pony",1.75," 2007"," 11"," cartoon"
"My Little Pony",1.75," 2007"," 12"," cartoon"
"My Little Pony",1.75," 2008"," 01"," cartoon"
"My Little Pony",1.75," 2008"," 02"," cartoon"
"My Little Pony",0.5," 2009"," 01"," cartoon"
"My Little Pony",0.5," 2009"," 02"," cartoon"
"My Little Pony",2.0," 2009"," 03"," cartoon"
"My Little Pony",-0.5," 2009"," 04"," cartoon"
"My Little Pony",-0.5," 2009"," 05"," cartoon"
"My Little Pony",0.9," 2009"," 06"," cartoon"
"My Little Pony",0.9," 2009"," 07"," cartoon"
"My Little Pony",0.9," 2009"," 08"," cartoon"
"My Little Pony",0.9," 2009"," 09"," cartoon"
"My Little Pony",0.9," 2009"," 10"," cartoon"
"My Little Pony",0.9," 2009"," 11"," cartoon"
"My Little Pony",0.9," 2009"," 12"," cartoon"
"My Little Pony",0.9," 2010"," 01"," cartoon"
"My Little Pony",0.9," 2010"," 02"," cartoon"
"My Little Pony",0.9," 2010"," 03"," cartoon"
"My Little Pony",1.0," 2010"," 04"," cartoon"
"My Little Pony",3.857142857142857," 2010"," 05"," cartoon"
"My Little Pony",3.857142857142857," 2010"," 06"," cartoon"
"My Little Pony",3.857142857142857," 2010"," 07"," cartoon"
"My Little Pony",3.857142857142857," 2010"," 08"," cartoon"
"My Little Pony",3.857142857142857," 2010"," 09"," cartoon"
"My Little Pony",3.857142857142857," 2010"," 10"," cartoon"
"My Little Pony",3.857142857142857," 2010"," 11"," cartoon"
"My Little Pony",56.75," 2010"," 12"," cartoon"
"My Little Pony",56.75," 2011"," 01"," cartoon"
"My Little Pony",56.75," 2011"," 02"," cartoon"
"My Little Pony",56.75," 2011"," 03"," cartoon"
"My Little Pony",72.66666666666667," 2011"," 04"," cartoon"
"My Little Pony",72.66666666666667," 2011"," 05"," cartoon"
"My Little Pony",72.66666666666667," 2011"," 06"," cartoon"
"My Little Pony",372.0," 2011"," 07"," cartoon"
"My Little Pony",60.0," 2011"," 08"," cartoon"
"My Little Pony",797.0," 2011"," 09"," cartoon"
"My Little Pony",760.0," 2011"," 10"," cartoon"
"My Little Pony",760.0," 2011"," 11"," cartoon"
"My Little Pony",78.0," 2011"," 12"," cartoon"
"My Little Pony",78.0," 2012"," 01"," cartoon"
"My Little Pony",1182.0," 2012"," 02"," cartoon"
"My Little Pony",1182.0," 2012"," 03"," cartoon"
"My Little Pony",194.0," 2012"," 04"," cartoon"
"My Little Pony",194.0," 2012"," 05"," cartoon"
"My Little Pony",1189.25," 2012"," 06"," cartoon"
"My Little Pony",1189.25," 2012"," 07"," cartoon"
"My Little Pony",1189.25," 2012"," 08"," cartoon"
"My Little Pony",1189.25," 2012"," 09"," cartoon"
"My Little Pony",128.5," 2012"," 10"," cartoon"
"My Little Pony",128.5," 2012"," 11"," cartoon"
"My Little Pony",128.5," 2012"," 12"," cartoon"
"My Little Pony",128.5," 2013"," 01"," cartoon"
"My Little Pony",543.0," 2013"," 02"," cartoon"
"My Little Pony",568.0," 2013"," 03"," cartoon"
"My Little Pony",437.0," 2013"," 04"," cartoon"
"My Little Pony",1024.0," 2013"," 05"," cartoon"
"My Little Pony",319.0," 2013"," 06"," cartoon"
"My Little Pony",932.0," 2013"," 08"," cartoon"
"My Little Pony",300.0," 2013"," 09"," cartoon"
"My Little Pony",700.0," 2013"," 10"," cartoon"
"My Little Pony",500.0," 2013"," 11"," cartoon"
"My Little Pony",500.0," 2013"," 12"," cartoon"
"My Little Pony",200.0," 2014"," 01"," cartoon"
"My Little Pony",600.0," 2014"," 02"," cartoon"
"My Little Pony",500.0," 2014"," 03"," cartoon"
"My Little Pony",400.0," 2014"," 04"," cartoon"
"My Little Pony",500.0," 2014"," 05"," cartoon"
"My Little Pony",500.0," 2014"," 06"," cartoon"
"My Little Pony",400.0," 2014"," 07"," cartoon"
"My Little Pony",500.0," 2014"," 08"," cartoon"
"My Little Pony",300.0," 2014"," 09"," cartoon"
"My Little Pony",400.0," 2014"," 10"," cartoon"
"My Little Pony",400.0," 2014"," 11"," cartoon"
"My Little Pony",400.0," 2014"," 12"," cartoon"
"My Little Pony",300.0," 2015"," 01"," cartoon"
"My Little Pony",400.0," 2015"," 02"," cartoon"
"My Little Pony",300.0," 2015"," 03"," cartoon"
"My Little Pony",200.0," 2015"," 04"," cartoon"
"My Little Pony",500.0," 2015"," 05"," cartoon"
"My Little Pony",300.0," 2015"," 06"," cartoon"
"My Little Pony",400.0," 2015"," 07"," cartoon"
"My Little Pony",200.0," 2015"," 08"," cartoon"
"My Little Pony",300.0," 2015"," 09"," cartoon"
"My Little Pony",100.0," 2015"," 10"," cartoon"
"My Little Pony",300.0," 2015"," 11"," cartoon"
"My Little Pony",200.0," 2015"," 12"," cartoon"
"My Little Pony",200.0," 2016"," 01"," cartoon"
"My Little Pony",200.0," 2016"," 02"," cartoon"
"My Little Pony",100.0," 2016"," 03"," cartoon"
"My Little Pony",100.0," 2016"," 04"," cartoon"
"My Little Pony",200.0," 2016"," 05"," cartoon"
"My Little Pony",200.0," 2016"," 06"," cartoon"
"My Little Pony",100.0," 2016"," 07"," cartoon"
"My Little Pony",100.0," 2016"," 08"," cartoon"
"My Little Pony",100.0," 2016"," 09"," cartoon"
"My Little Pony",200.0," 2016"," 10"," cartoon"
"My Little Pony",150.0," 2016"," 11"," cartoon"
"My Little Pony",150.0," 2016"," 12"," cartoon"
"My Little Pony",50.0," 2017"," 01"," cartoon"
"My Little Pony",50.0," 2017"," 02"," cartoon"
"My Little Pony",100.0," 2017"," 03"," cartoon"
"My Little Pony",100.0," 2017"," 04"," cartoon"
"My Little Pony",100.0," 2017"," 05"," cartoon"
"My Little Pony",100.0," 2017"," 06"," cartoon"
"My Little Pony",200.0," 2017"," 07"," cartoon"
"My Little Pony",100.0," 2017"," 08"," cartoon"
"My Little Pony",100.0," 2017"," 09"," cartoon"
"My Little Pony",100.0," 2017"," 10"," cartoon"
"My Little Pony",50.0," 2017"," 11"," cartoon"
"My Little Pony",50.0," 2017"," 12"," cartoon"
"My Little Pony",200.0," 2018"," 01"," cartoon"
"My Little Pony",100.0," 2018"," 02"," cartoon"
"My Little Pony",100.0," 2018"," 03"," cartoon"
"My Little Pony",50.0," 2018"," 04"," cartoon"
"My Little Pony",50.0," 2018"," 05"," cartoon"
"My Little Pony",100.0," 2018"," 06"," cartoon"
"My Little Pony",50.0," 2018"," 07"," cartoon"
"My Little Pony",50.0," 2018"," 08"," cartoon"
"My Little Pony",100.0," 2018"," 09"," cartoon"
"My Little Pony",100.0," 2018"," 10"," cartoon"
"My Little Pony",50.0," 2018"," 11"," cartoon"
"My Little Pony",50.0," 2018"," 12"," cartoon"
"My Little Pony",100.0," 2019"," 01"," cartoon"
"My Little Pony",100.0," 2019"," 02"," cartoon"
"My Little Pony",33.333333333333336," 2019"," 03"," cartoon"
"My Little Pony",33.333333333333336," 2019"," 04"," cartoon"
"My Little Pony",33.333333333333336," 2019"," 05"," cartoon"
"My Little Pony",50.0," 2019"," 06"," cartoon"
"My Little Pony",50.0," 2019"," 07"," cartoon"
"My Little Pony",50.0," 2019"," 08"," cartoon"
"My Little Pony",50.0," 2019"," 09"," cartoon"
"My Little Pony",100.0," 2019"," 10"," cartoon"
"My Little Pony",33.333333333333336," 2019"," 11"," cartoon"
"My Little Pony",33.333333333333336," 2019"," 12"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 01"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 02"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 03"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 04"," cartoon"
"My Little Pony",50.0," 2020"," 05"," cartoon"
"My Little Pony",50.0," 2020"," 06"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 07"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 08"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 09"," cartoon"
"My Little Pony",100.0," 2020"," 10"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 11"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 12"," cartoon"
"My Little Pony",33.333333333333336," 2021"," 01"," cartoon"
"My Little Pony",20.0," 2021"," 02"," cartoon"
"My Little Pony",20.0," 2021"," 03"," cartoon"
"My Little Pony",20.0," 2021"," 04"," cartoon"
"My Little Pony",20.0," 2021"," 06"," cartoon"
"My Little Pony",20.0," 2021"," 07"," cartoon"
"My Little Pony",20.0," 2021"," 08"," cartoon"
"My Little Pony",20.0," 2021"," 10"," cartoon"
"My Little Pony",20.0," 2021"," 11"," cartoon"
"My Little Pony",20.0," 2021"," 12"," cartoon"
"My Little Pony",20.0," 2022"," 01"," cartoon"
"My Little Pony",20.0," 2022"," 02"," cartoon"
"My Little Pony",20.0," 2022"," 03"," cartoon"
